,period,year,month,county,code,cases_under_5yo,cases_over_5yo,total_cases,temp,rainfall,month_code,county_code
24,24-Jan,2024,Jan,Baringo,KE_County_30,866,3282,4148,18,67.14,1,30
25,24-Feb,2024,Feb,Baringo,KE_County_30,957,2928,3885,20,53.94,2,30
26,24-Mar,2024,Mar,Baringo,KE_County_30,700,1952,2652,20,14.96,3,30
27,24-Apr,2024,Apr,Baringo,KE_County_30,604,1200,1804,18,384.51,4,30
28,24-May,2024,May,Baringo,KE_County_30,887,2171,3058,17,350.13,5,30
29,24-Jun,2024,Jun,Baringo,KE_County_30,733,2021,2754,16,169.33,6,30
30,24-Jul,2024,Jul,Baringo,KE_County_30,966,2682,3648,16,217.38,7,30
31,24-Aug,2024,Aug,Baringo,KE_County_30,1175,3181,4356,16,257.48,8,30
32,24-Sep,2024,Sep,Baringo,KE_County_30,1702,4049,5751,17,196.66,9,30
33,24-Oct,2024,Oct,Baringo,KE_County_30,1701,4251,5952,18,7.91,10,30
34,24-Nov,2024,Nov,Baringo,KE_County_30,631,1873,2504,17,144.83,11,30
35,24-Dec,2024,Dec,Baringo,KE_County_30,887,1745,2632,17,17.86,12,30
36,22-Jan,2022,Jan,Bomet,KE_County_36,13,100,113,19,166.5,1,36
37,22-Feb,2022,Feb,Bomet,KE_County_36,9,109,118,19,94.31,2,36
38,22-Mar,2022,Mar,Bomet,KE_County_36,34,129,163,20,129.49,3,36
39,22-Apr,2022,Apr,Bomet,KE_County_36,26,185,211,18,374.55,4,36
40,22-May,2022,May,Bomet,KE_County_36,23,153,176,17,261.19,5,36
41,22-Jun,2022,Jun,Bomet,KE_County_36,18,130,148,16,79.19,6,36
42,22-Jul,2022,Jul,Bomet,KE_County_36,18,85,103,16,82.05,7,36
43,22-Aug,2022,Aug,Bomet,KE_County_36,17,99,116,16,203.88,8,36
44,22-Sep,2022,Sep,Bomet,KE_County_36,16,54,70,17,188.29,9,36
45,22-Oct,2022,Oct,Bomet,KE_County_36,9,46,55,18,139.18,10,36
46,22-Nov,2022,Nov,Bomet,KE_County_36,7,45,52,17,338.4,11,36
47,22-Dec,2022,Dec,Bomet,KE_County_36,6,66,72,18,196.28,12,36
48,23-Jan,2023,Jan,Bomet,KE_County_36,5,85,90,19,2.99,1,36
49,23-Feb,2023,Feb,Bomet,KE_County_36,34,268,302,21,3.57,2,36
50,23-Mar,2023,Mar,Bomet,KE_County_36,77,345,422,19,421.97,3,36
51,23-Apr,2023,Apr,Bomet,KE_County_36,17,182,199,17,607.85,4,36
52,23-May,2023,May,Bomet,KE_County_36,17,140,157,17,253.35,5,36
53,23-Jun,2023,Jun,Bomet,KE_County_36,10,95,105,16,301.4,6,36
54,23-Jul,2023,Jul,Bomet,KE_County_36,1,65,66,17,112,7,36
55,23-Aug,2023,Aug,Bomet,KE_County_36,19,62,81,17,82.05,8,36
56,23-Sep,2023,Sep,Bomet,KE_County_36,5,94,99,17,299.36,9,36
57,23-Oct,2023,Oct,Bomet,KE_County_36,5,82,87,18,83.32,10,36
58,23-Nov,2023,Nov,Bomet,KE_County_36,13,59,72,17,301.49,11,36
59,23-Dec,2023,Dec,Bomet,KE_County_36,4,95,99,18,149.07,12,36
60,24-Jan,2024,Jan,Bomet,KE_County_36,22,178,200,18,136.52,1,36
61,24-Feb,2024,Feb,Bomet,KE_County_36,51,337,388,20,91.59,2,36
62,24-Mar,2024,Mar,Bomet,KE_County_36,30,385,415,21,42.82,3,36
63,24-Apr,2024,Apr,Bomet,KE_County_36,11,117,128,17,360.63,4,36
64,24-May,2024,May,Bomet,KE_County_36,14,189,203,17,337.15,5,36
65,24-Jun,2024,Jun,Bomet,KE_County_36,6,167,173,16,161.41,6,36
66,24-Jul,2024,Jul,Bomet,KE_County_36,12,95,107,16,140.23,7,36
67,24-Aug,2024,Aug,Bomet,KE_County_36,18,89,107,17,86.42,8,36
68,24-Sep,2024,Sep,Bomet,KE_County_36,6,87,93,17,142.71,9,36
69,24-Oct,2024,Oct,Bomet,KE_County_36,12,337,349,19,9.67,10,36
70,24-Nov,2024,Nov,Bomet,KE_County_36,8,83,91,18,304.66,11,36
71,24-Dec,2024,Dec,Bomet,KE_County_36,8,71,79,18,57.88,12,36
72,22-Jan,2022,Jan,Bungoma,KE_County_39,6364,18470,24834,21,98.81,1,39
73,22-Feb,2022,Feb,Bungoma,KE_County_39,6861,13147,20008,21,121.36,2,39
74,22-Mar,2022,Mar,Bungoma,KE_County_39,7647,14240,21887,22,148.99,3,39
75,22-Apr,2022,Apr,Bungoma,KE_County_39,6721,14212,20933,21,343.03,4,39
76,22-May,2022,May,Bungoma,KE_County_39,8456,22335,30791,20,214.46,5,39
77,22-Jun,2022,Jun,Bungoma,KE_County_39,13213,32743,45956,19,74.16,6,39
78,22-Jul,2022,Jul,Bungoma,KE_County_39,8309,20631,28940,19,105.76,7,39
79,22-Aug,2022,Aug,Bungoma,KE_County_39,5988,14375,20363,19,190.96,8,39
80,22-Sep,2022,Sep,Bungoma,KE_County_39,5537,12534,18071,19,159.1,9,39
81,22-Oct,2022,Oct,Bungoma,KE_County_39,4591,13052,17643,20,182.86,10,39
82,22-Nov,2022,Nov,Bungoma,KE_County_39,4747,13552,18299,19,318.26,11,39
83,22-Dec,2022,Dec,Bungoma,KE_County_39,4623,10529,15152,20,202.95,12,39
84,23-Jan,2023,Jan,Bungoma,KE_County_39,5541,12208,17749,21,7.86,1,39
85,23-Feb,2023,Feb,Bungoma,KE_County_39,5944,13210,19154,24,5.86,2,39
86,23-Mar,2023,Mar,Bungoma,KE_County_39,6506,15627,22133,21,440.57,3,39
87,23-Apr,2023,Apr,Bungoma,KE_County_39,7943,19792,27735,20,442.9,4,39
88,23-May,2023,May,Bungoma,KE_County_39,9144,28060,37204,20,177.3,5,39
89,23-Jun,2023,Jun,Bungoma,KE_County_39,8705,26476,35181,20,164.3,6,39
90,23-Jul,2023,Jul,Bungoma,KE_County_39,8383,24903,33286,20,83.4,7,39
91,23-Aug,2023,Aug,Bungoma,KE_County_39,8367,19673,28040,20,67.15,8,39
92,23-Sep,2023,Sep,Bungoma,KE_County_39,6156,19327,25483,20,243.77,9,39
93,23-Oct,2023,Oct,Bungoma,KE_County_39,5921,15229,21150,20,252.83,10,39
94,23-Nov,2023,Nov,Bungoma,KE_County_39,4922,11704,16626,19,366.69,11,39
95,23-Dec,2023,Dec,Bungoma,KE_County_39,6123,15148,21271,19,198.22,12,39
96,24-Jan,2024,Jan,Bungoma,KE_County_39,7697,21647,29344,20,129.19,1,39
97,24-Feb,2024,Feb,Bungoma,KE_County_39,7376,18447,25823,22,106.31,2,39
98,24-Mar,2024,Mar,Bungoma,KE_County_39,8317,18729,27046,22,100.49,3,39
99,24-Apr,2024,Apr,Bungoma,KE_County_39,5831,15289,21120,19,428.61,4,39
100,24-May,2024,May,Bungoma,KE_County_39,7661,21724,29385,19,360.43,5,39
101,24-Jun,2024,Jun,Bungoma,KE_County_39,8365,22897,31262,19,163.27,6,39
102,24-Jul,2024,Jul,Bungoma,KE_County_39,8722,26773,35495,19,129.96,7,39
103,24-Aug,2024,Aug,Bungoma,KE_County_39,7210,17651,24861,19,157.02,8,39
104,24-Sep,2024,Sep,Bungoma,KE_County_39,6107,15518,21625,20,149.16,9,39
105,24-Oct,2024,Oct,Bungoma,KE_County_39,5217,12264,17481,20,20.57,10,39
106,24-Nov,2024,Nov,Bungoma,KE_County_39,3873,9330,13203,19,248.99,11,39
107,24-Dec,2024,Dec,Bungoma,KE_County_39,4632,10346,14978,20,88.65,12,39
108,22-Jan,2022,Jan,Busia,KE_County_40,6108,23876,29984,23,6.88,1,40
109,22-Feb,2022,Feb,Busia,KE_County_40,5251,17568,22819,24,105.15,2,40
110,22-Mar,2022,Mar,Busia,KE_County_40,7117,19513,26630,24,235.26,3,40
111,22-Apr,2022,Apr,Busia,KE_County_40,6791,19908,26699,22,458.79,4,40
112,22-May,2022,May,Busia,KE_County_40,9013,32024,41037,21,332.73,5,40
113,22-Jun,2022,Jun,Busia,KE_County_40,10867,38706,49573,21,151.9,6,40
114,22-Jul,2022,Jul,Busia,KE_County_40,8220,30161,38381,21,184.6,7,40
115,22-Aug,2022,Aug,Busia,KE_County_40,5892,19079,24971,21,218.43,8,40
116,22-Sep,2022,Sep,Busia,KE_County_40,4771,14941,19712,21,159.5,9,40
117,22-Oct,2022,Oct,Busia,KE_County_40,4407,15919,20326,22,102.87,10,40
118,22-Nov,2022,Nov,Busia,KE_County_40,5176,16926,22102,21,423.63,11,40
119,22-Dec,2022,Dec,Busia,KE_County_40,4729,14923,19652,22,303.07,12,40
120,23-Jan,2023,Jan,Busia,KE_County_40,6202,19315,25517,23,76.73,1,40
121,23-Feb,2023,Feb,Busia,KE_County_40,5417,19720,25137,25,2.99,2,40
122,23-Mar,2023,Mar,Busia,KE_County_40,5968,20608,26576,23,376.9,3,40
123,23-Apr,2023,Apr,Busia,KE_County_40,7296,22653,29949,22,534.15,4,40
124,23-May,2023,May,Busia,KE_County_40,9847,41709,51556,22,242.55,5,40
125,23-Jun,2023,Jun,Busia,KE_County_40,9882,36434,46316,21,380.7,6,40
126,23-Jul,2023,Jul,Busia,KE_County_40,6524,27263,33787,22,224.95,7,40
127,23-Aug,2023,Aug,Busia,KE_County_40,7142,24259,31401,23,79.8,8,40
128,23-Sep,2023,Sep,Busia,KE_County_40,5510,21782,27292,22,190.03,9,40
129,23-Oct,2023,Oct,Busia,KE_County_40,4419,16041,20460,22,149.15,10,40
130,23-Nov,2023,Nov,Busia,KE_County_40,5030,16732,21762,21,276.64,11,40
131,23-Dec,2023,Dec,Busia,KE_County_40,4520,15286,19806,22,153.55,12,40
132,24-Jan,2024,Jan,Busia,KE_County_40,5058,18837,23895,23,76.73,1,40
133,24-Feb,2024,Feb,Busia,KE_County_40,3782,12982,16764,25,52.63,2,40
134,24-Mar,2024,Mar,Busia,KE_County_40,3461,11749,15210,25,68.73,3,40
135,24-Apr,2024,Apr,Busia,KE_County_40,1374,4329,5703,22,254.15,4,40
136,24-May,2024,May,Busia,KE_County_40,1360,4113,5473,21,258.59,5,40
137,24-Jun,2024,Jun,Busia,KE_County_40,2505,8085,10590,21,98.93,6,40
138,24-Jul,2024,Jul,Busia,KE_County_40,2962,10091,13053,22,107.75,7,40
139,24-Aug,2024,Aug,Busia,KE_County_40,2810,8916,11726,22,114.05,8,40
140,24-Sep,2024,Sep,Busia,KE_County_40,2997,9128,12125,22,78.45,9,40
141,24-Oct,2024,Oct,Busia,KE_County_40,2440,6611,9051,23,22.33,10,40
142,24-Nov,2024,Nov,Busia,KE_County_40,2210,5682,7892,22,253.92,11,40
143,24-Dec,2024,Dec,Busia,KE_County_40,2133,6569,8702,23,68.22,12,40
144,22-Jan,2022,Jan,Elgeyo Marakwet,KE_County_28,143,656,799,18,0.6,1,28
145,22-Feb,2022,Feb,Elgeyo Marakwet,KE_County_28,138,699,837,19,45.28,2,28
146,22-Mar,2022,Mar,Elgeyo Marakwet,KE_County_28,128,456,584,20,77.64,3,28
147,22-Apr,2022,Apr,Elgeyo Marakwet,KE_County_28,89,280,369,19,261.67,4,28
148,22-May,2022,May,Elgeyo Marakwet,KE_County_28,101,496,597,17,169.35,5,28
149,22-Jun,2022,Jun,Elgeyo Marakwet,KE_County_28,292,918,1210,16,198.07,6,28
150,22-Jul,2022,Jul,Elgeyo Marakwet,KE_County_28,151,584,735,16,254.24,7,28
151,22-Aug,2022,Aug,Elgeyo Marakwet,KE_County_28,79,402,481,15,413.87,8,28
152,22-Sep,2022,Sep,Elgeyo Marakwet,KE_County_28,86,435,521,17,244.68,9,28
153,22-Oct,2022,Oct,Elgeyo Marakwet,KE_County_28,86,498,584,17,89.45,10,28
154,22-Nov,2022,Nov,Elgeyo Marakwet,KE_County_28,85,441,526,17,61.76,11,28
155,22-Dec,2022,Dec,Elgeyo Marakwet,KE_County_28,93,386,479,18,45.3,12,28
156,23-Jan,2023,Jan,Elgeyo Marakwet,KE_County_28,87,415,502,18,67.14,1,28
157,23-Feb,2023,Feb,Elgeyo Marakwet,KE_County_28,77,283,360,20,0.43,2,28
158,23-Mar,2023,Mar,Elgeyo Marakwet,KE_County_28,30,266,296,19,234.32,3,28
159,23-Apr,2023,Apr,Elgeyo Marakwet,KE_County_28,62,456,518,18,385.9,4,28
160,23-May,2023,May,Elgeyo Marakwet,KE_County_28,102,781,883,17,160.9,5,28
161,23-Jun,2023,Jun,Elgeyo Marakwet,KE_County_28,65,578,643,17,291.75,6,28
162,23-Jul,2023,Jul,Elgeyo Marakwet,KE_County_28,100,888,988,16,190.4,7,28
163,23-Aug,2023,Aug,Elgeyo Marakwet,KE_County_28,85,902,987,17,232.95,8,28
164,23-Sep,2023,Sep,Elgeyo Marakwet,KE_County_28,104,653,757,17,239.38,9,28
165,23-Oct,2023,Oct,Elgeyo Marakwet,KE_County_28,76,383,459,18,174.29,10,28
166,23-Nov,2023,Nov,Elgeyo Marakwet,KE_County_28,99,554,653,17,231.31,11,28
167,23-Dec,2023,Dec,Elgeyo Marakwet,KE_County_28,389,940,1329,18,53.84,12,28
168,24-Jan,2024,Jan,Elgeyo Marakwet,KE_County_28,230,1662,1892,18,27.08,1,28
169,24-Feb,2024,Feb,Elgeyo Marakwet,KE_County_28,208,1164,1372,20,53.94,2,28
170,24-Mar,2024,Mar,Elgeyo Marakwet,KE_County_28,212,1135,1347,20,14.96,3,28
171,24-Apr,2024,Apr,Elgeyo Marakwet,KE_County_28,198,957,1155,18,384.51,4,28
172,24-May,2024,May,Elgeyo Marakwet,KE_County_28,253,1359,1612,17,350.13,5,28
173,24-Jun,2024,Jun,Elgeyo Marakwet,KE_County_28,95,788,883,16,169.33,6,28
174,24-Jul,2024,Jul,Elgeyo Marakwet,KE_County_28,118,775,893,16,217.38,7,28
175,24-Aug,2024,Aug,Elgeyo Marakwet,KE_County_28,203,1509,1712,16,257.48,8,28
176,24-Sep,2024,Sep,Elgeyo Marakwet,KE_County_28,275,1538,1813,17,196.66,9,28
177,24-Oct,2024,Oct,Elgeyo Marakwet,KE_County_28,327,1254,1581,18,7.91,10,28
178,24-Nov,2024,Nov,Elgeyo Marakwet,KE_County_28,174,1131,1305,17,144.83,11,28
179,24-Dec,2024,Dec,Elgeyo Marakwet,KE_County_28,215,1075,1290,17,17.86,12,28
180,22-Jan,2022,Jan,Embu,KE_County_14,1,34,35,19,62.57,1,14
181,22-Feb,2022,Feb,Embu,KE_County_14,5,25,30,21,86.1,2,14
182,22-Mar,2022,Mar,Embu,KE_County_14,13,38,51,22,30.86,3,14
183,22-Apr,2022,Apr,Embu,KE_County_14,5,28,33,20,176.34,4,14
184,22-May,2022,May,Embu,KE_County_14,5,22,27,19,69.94,5,14
185,22-Jun,2022,Jun,Embu,KE_County_14,4,59,63,18,21.8,6,14
186,22-Jul,2022,Jul,Embu,KE_County_14,4,34,38,18,37.2,7,14
187,22-Aug,2022,Aug,Embu,KE_County_14,6,18,24,18,41,8,14
188,22-Sep,2022,Sep,Embu,KE_County_14,7,14,21,19,60.69,9,14
189,22-Oct,2022,Oct,Embu,KE_County_14,29,21,50,21,23.8,10,14
190,22-Nov,2022,Nov,Embu,KE_County_14,4,16,20,18,129.26,11,14
191,22-Dec,2022,Dec,Embu,KE_County_14,3,9,12,19,76.25,12,14
192,23-Jan,2023,Jan,Embu,KE_County_14,3,52,55,20,4.28,1,14
193,23-Feb,2023,Feb,Embu,KE_County_14,6,19,25,22,1.44,2,14
194,23-Mar,2023,Mar,Embu,KE_County_14,0,19,19,21,216.87,3,14
195,23-Apr,2023,Apr,Embu,KE_County_14,0,21,21,19,286.9,4,14
196,23-May,2023,May,Embu,KE_County_14,6,53,59,19,128.25,5,14
197,23-Jun,2023,Jun,Embu,KE_County_14,1,35,36,19,62.4,6,14
198,23-Jul,2023,Jul,Embu,KE_County_14,4,39,43,18,26.3,7,14
199,23-Aug,2023,Aug,Embu,KE_County_14,2,29,31,19,37.8,8,14
200,23-Sep,2023,Sep,Embu,KE_County_14,5,22,27,21,40.68,9,14
201,23-Oct,2023,Oct,Embu,KE_County_14,4,46,50,21,53.59,10,14
202,23-Nov,2023,Nov,Embu,KE_County_14,11,39,50,18,281.09,11,14
203,23-Dec,2023,Dec,Embu,KE_County_14,7,23,30,19,95.15,12,14
204,24-Jan,2024,Jan,Embu,KE_County_14,13,144,157,20,121.67,1,14
205,24-Feb,2024,Feb,Embu,KE_County_14,31,214,245,22,39.08,2,14
206,24-Mar,2024,Mar,Embu,KE_County_14,12,154,166,22,75.72,3,14
207,24-Apr,2024,Apr,Embu,KE_County_14,4,64,68,20,429.04,4,14
208,24-May,2024,May,Embu,KE_County_14,6,45,51,19,178.21,5,14
209,24-Jun,2024,Jun,Embu,KE_County_14,11,60,71,18,36.1,6,14
210,24-Jul,2024,Jul,Embu,KE_County_14,10,99,109,18,54.66,7,14
211,24-Aug,2024,Aug,Embu,KE_County_14,13,61,74,19,17.62,8,14
212,24-Sep,2024,Sep,Embu,KE_County_14,3,42,45,20,17.19,9,14
213,24-Oct,2024,Oct,Embu,KE_County_14,4,42,46,22,1.01,10,14
214,24-Nov,2024,Nov,Embu,KE_County_14,2,50,52,19,175.56,11,14
215,24-Dec,2024,Dec,Embu,KE_County_14,2,53,55,19,53.7,12,14
216,22-Jan,2022,Jan,Garissa,KE_County_7,65,358,423,29,2.4,1,7
217,22-Feb,2022,Feb,Garissa,KE_County_7,54,175,229,30,0.2,2,7
218,22-Mar,2022,Mar,Garissa,KE_County_7,42,113,155,31,8.35,3,7
219,22-Apr,2022,Apr,Garissa,KE_County_7,33,29,62,30,33.2,4,7
220,22-May,2022,May,Garissa,KE_County_7,22,67,89,28,7.4,5,7
221,22-Jun,2022,Jun,Garissa,KE_County_7,24,85,109,26,2.9,6,7
222,22-Jul,2022,Jul,Garissa,KE_County_7,35,151,186,25,4.2,7,7
223,22-Aug,2022,Aug,Garissa,KE_County_7,35,213,248,26,4.2,8,7
224,22-Sep,2022,Sep,Garissa,KE_County_7,39,221,260,27,5.1,9,7
225,22-Oct,2022,Oct,Garissa,KE_County_7,102,89,191,28,8.1,10,7
226,22-Nov,2022,Nov,Garissa,KE_County_7,18,119,137,28,33.99,11,7
227,22-Dec,2022,Dec,Garissa,KE_County_7,30,162,192,29,10.5,12,7
228,23-Jan,2023,Jan,Garissa,KE_County_7,78,121,199,29,2.4,1,7
229,23-Feb,2023,Feb,Garissa,KE_County_7,24,87,111,30,0.1,2,7
230,23-Mar,2023,Mar,Garissa,KE_County_7,30,251,281,30,127.9,3,7
231,23-Apr,2023,Apr,Garissa,KE_County_7,23,96,119,29,67.2,4,7
232,23-May,2023,May,Garissa,KE_County_7,51,258,309,28,8,5,7
233,23-Jun,2023,Jun,Garissa,KE_County_7,59,312,371,27,3.6,6,7
234,23-Jul,2023,Jul,Garissa,KE_County_7,33,204,237,26,3.6,7,7
235,23-Aug,2023,Aug,Garissa,KE_County_7,42,172,214,27,5,8,7
236,23-Sep,2023,Sep,Garissa,KE_County_7,20,207,227,28,2.76,9,7
237,23-Oct,2023,Oct,Garissa,KE_County_7,30,194,224,29,11,10,7
238,23-Nov,2023,Nov,Garissa,KE_County_7,52,207,259,27,237.87,11,7
239,23-Dec,2023,Dec,Garissa,KE_County_7,104,495,599,29,68,12,7
240,24-Jan,2024,Jan,Garissa,KE_County_7,80,577,657,30,2.45,1,7
241,24-Feb,2024,Feb,Garissa,KE_County_7,117,522,639,31,5.58,2,7
242,24-Mar,2024,Mar,Garissa,KE_County_7,39,111,150,31,19.56,3,7
243,24-Apr,2024,Apr,Garissa,KE_County_7,64,172,236,29,90.71,4,7
244,24-May,2024,May,Garissa,KE_County_7,32,217,249,28,3.87,5,7
245,24-Jun,2024,Jun,Garissa,KE_County_7,117,236,353,27,1.52,6,7
246,24-Jul,2024,Jul,Garissa,KE_County_7,94,364,458,27,2.82,7,7
247,24-Aug,2024,Aug,Garissa,KE_County_7,68,346,414,27,4.1,8,7
248,24-Sep,2024,Sep,Garissa,KE_County_7,70,270,340,28,3.38,9,7
249,24-Oct,2024,Oct,Garissa,KE_County_7,92,238,330,29,0.47,10,7
250,24-Nov,2024,Nov,Garissa,KE_County_7,56,209,265,29,103.92,11,7
251,24-Dec,2024,Dec,Garissa,KE_County_7,70,107,177,29,7.62,12,7
252,22-Jan,2022,Jan,Homa Bay,KE_County_43,5879,22615,28494,20,107.54,1,43
253,22-Feb,2022,Feb,Homa Bay,KE_County_43,4697,15474,20171,20,137.88,2,43
254,22-Mar,2022,Mar,Homa Bay,KE_County_43,6592,18508,25100,21,149.76,3,43
255,22-Apr,2022,Apr,Homa Bay,KE_County_43,5657,17235,22892,21,371.37,4,43
256,22-May,2022,May,Homa Bay,KE_County_43,4747,17254,22001,19,291.89,5,43
257,22-Jun,2022,Jun,Homa Bay,KE_County_43,7557,25170,32727,18,46.66,6,43
258,22-Jul,2022,Jul,Homa Bay,KE_County_43,7826,27217,35043,19,44.92,7,43
259,22-Aug,2022,Aug,Homa Bay,KE_County_43,5810,18390,24200,18,151.63,8,43
260,22-Sep,2022,Sep,Homa Bay,KE_County_43,6235,17724,23959,19,141.28,9,43
261,22-Oct,2022,Oct,Homa Bay,KE_County_43,7624,26780,34404,20,78.8,10,43
262,22-Nov,2022,Nov,Homa Bay,KE_County_43,8810,30346,39156,18,283.73,11,43
263,22-Dec,2022,Dec,Homa Bay,KE_County_43,8593,28926,37519,19,248.23,12,43
264,23-Jan,2023,Jan,Homa Bay,KE_County_43,12883,41774,54657,20,7.01,1,43
265,23-Feb,2023,Feb,Homa Bay,KE_County_43,10234,37340,47574,22,13.8,2,43
266,23-Mar,2023,Mar,Homa Bay,KE_County_43,7170,25525,32695,19,394.21,3,43
267,23-Apr,2023,Apr,Homa Bay,KE_County_43,7336,25831,33167,19,607.05,4,43
268,23-May,2023,May,Homa Bay,KE_County_43,7552,31029,38581,19,237.2,5,43
269,23-Jun,2023,Jun,Homa Bay,KE_County_43,6566,26608,33174,18,178.25,6,43
270,23-Jul,2023,Jul,Homa Bay,KE_County_43,5856,22653,28509,19,46.85,7,43
271,23-Aug,2023,Aug,Homa Bay,KE_County_43,5578,16716,22294,20,49.05,8,43
272,23-Sep,2023,Sep,Homa Bay,KE_County_43,4316,14791,19107,18,252.01,9,43
273,23-Oct,2023,Oct,Homa Bay,KE_County_43,3866,12584,16450,20,76.79,10,43
274,23-Nov,2023,Nov,Homa Bay,KE_County_43,3707,11276,14983,18,393.91,11,43
275,23-Dec,2023,Dec,Homa Bay,KE_County_43,3676,11199,14875,19,251.76,12,43
276,24-Jan,2024,Jan,Homa Bay,KE_County_43,5146,20142,25288,19,172.14,1,43
277,24-Feb,2024,Feb,Homa Bay,KE_County_43,4749,17785,22534,20,128.92,2,43
278,24-Mar,2024,Mar,Homa Bay,KE_County_43,4345,14448,18793,21,126.47,3,43
279,24-Apr,2024,Apr,Homa Bay,KE_County_43,3390,11991,15381,18,446.32,4,43
280,24-May,2024,May,Homa Bay,KE_County_43,4277,17039,21316,18,299.34,5,43
281,24-Jun,2024,Jun,Homa Bay,KE_County_43,5050,19178,24228,18,96.75,6,43
282,24-Jul,2024,Jul,Homa Bay,KE_County_43,4686,17107,21793,18,76,7,43
283,24-Aug,2024,Aug,Homa Bay,KE_County_43,5013,16355,21368,19,35.19,8,43
284,24-Sep,2024,Sep,Homa Bay,KE_County_43,5116,18137,23253,19,65.87,9,43
285,24-Oct,2024,Oct,Homa Bay,KE_County_43,4712,13508,18220,20,14.28,10,43
286,24-Nov,2024,Nov,Homa Bay,KE_County_43,4327,13517,17844,19,298.83,11,43
287,24-Dec,2024,Dec,Homa Bay,KE_County_43,4817,17117,21934,19,128.26,12,43
288,22-Jan,2022,Jan,Isiolo,KE_County_11,76,343,419,19,45.95,1,11
289,22-Feb,2022,Feb,Isiolo,KE_County_11,72,288,360,21,12.5,2,11
290,22-Mar,2022,Mar,Isiolo,KE_County_11,62,153,215,21,36.49,3,11
291,22-Apr,2022,Apr,Isiolo,KE_County_11,54,172,226,20,56.85,4,11
292,22-May,2022,May,Isiolo,KE_County_11,74,275,349,20,6.5,5,11
293,22-Jun,2022,Jun,Isiolo,KE_County_11,71,321,392,19,3.9,6,11
294,22-Jul,2022,Jul,Isiolo,KE_County_11,741,506,1247,18,1.9,7,11
295,22-Aug,2022,Aug,Isiolo,KE_County_11,39,57,96,18,28.8,8,11
296,22-Sep,2022,Sep,Isiolo,KE_County_11,20,82,102,19,33.3,9,11
297,22-Oct,2022,Oct,Isiolo,KE_County_11,38,73,111,20,14.1,10,11
298,22-Nov,2022,Nov,Isiolo,KE_County_11,36,99,135,18,50.37,11,11
299,22-Dec,2022,Dec,Isiolo,KE_County_11,36,175,211,18,36.88,12,11
300,23-Jan,2023,Jan,Isiolo,KE_County_11,54,342,396,18,6.47,1,11
301,23-Feb,2023,Feb,Isiolo,KE_County_11,45,275,320,20,5,2,11
302,23-Mar,2023,Mar,Isiolo,KE_County_11,18,116,134,19,240.67,3,11
303,23-Apr,2023,Apr,Isiolo,KE_County_11,48,216,264,19,135.75,4,11
304,23-May,2023,May,Isiolo,KE_County_11,63,498,561,19,41.45,5,11
305,23-Jun,2023,Jun,Isiolo,KE_County_11,91,511,602,19,8.2,6,11
306,23-Jul,2023,Jul,Isiolo,KE_County_11,40,280,320,19,8,7,11
307,23-Aug,2023,Aug,Isiolo,KE_County_11,16,98,114,19,7.1,8,11
308,23-Sep,2023,Sep,Isiolo,KE_County_11,46,123,169,20,31.03,9,11
